7.2914e-05s: Ui created.
1.61065s: 18 25
1.6108s: 107 2
1.61228s: 122 6
1.61244s: 3 29
2.22398s: 18 25
2.22424s: 107 2
2.22488s: 122 6
2.22518s: 3 29
2.45067s: 18 25
2.45084s: 107 2
2.45153s: 122 6
2.45177s: 3 29
2.70155s: 18 25
2.70173s: 107 2
2.70228s: 122 6
2.70248s: 3 29
2.73243s: 18 25
2.7327s: 107 2
2.73337s: 122 6
2.73368s: 3 29
2.76313s: 18 25
2.76351s: 107 2
2.7641s: 122 6
2.76431s: 3 29
2.7937s: 18 25
2.79387s: 107 2
2.79441s: 122 6
2.7946s: 3 29
2.82458s: 18 25
2.82485s: 107 2
2.82551s: 122 6
2.82582s: 3 29
2.85507s: 18 25
2.85524s: 107 2
2.85592s: 122 6
2.85612s: 3 29
2.88584s: 18 25
2.88602s: 107 2
2.88655s: 122 6
2.88674s: 3 29
2.9166s: 18 25
2.91677s: 107 2
2.91732s: 122 6
2.91751s: 3 29
2.94717s: 18 25
2.94749s: 107 2
2.94805s: 122 6
2.94824s: 3 29
2.97804s: 18 25
2.97822s: 107 2
2.97876s: 122 6
2.97896s: 3 29
3.00861s: 18 25
3.00878s: 107 2
3.00932s: 122 6
3.00951s: 3 29
3.03968s: 18 25
3.03986s: 107 2
3.0404s: 122 6
3.0406s: 3 29
3.07005s: 18 25
3.07023s: 107 2
3.07077s: 122 6
3.07096s: 3 29
3.10079s: 18 25
3.10097s: 107 2
3.10151s: 122 6
3.10171s: 3 29
3.1316s: 18 25
3.13179s: 107 2
3.13234s: 122 6
3.13253s: 3 29
